StudentID,StudentName,Course,City,AttendancePercent,Assignment1Score,Assignment2Score,ExamScore,StudyHoursPerWeek,ProjectSubmitted,EnrolmentDate
1002,Zara King,Computing,Coventry,85,65.4,95.8,70.5,3.9,Yes,10/09/2024
1003,Ben Jones,Computing,Bristol,63.1,55.7,70.1,52.8,7.6,Yes,22/09/2024
1004,Anaya Ali,Digital Media,Liverpool,77.2,95.5,69.8,79.2,3.6,Yes,13/09/2024
1005,Archie Scott,Digital Media,Sheffield,78.1,62.3,45.7,99,3.3,Yes,26/09/2024
1006,Jasmine Khan,IT,Leeds,68.2,84.4,63.9,68.1,3.7,Yes,22/09/2024
1007,Yasmin Green,Business IT,Cardiff,87.9,62.1,80,100,4.3,Yes,05/09/2024
1008,Anaya Jones,IT,Nottingham,78.7,36,66.2,71.4,5,No,23/09/2024
1009,Kai Campbell,IT,Manchester,52.9,79.2,78.7,62.3,3.8,No,22/09/2024
1010,Daniel Johnson,Business IT,Sheffield,79,98.2,64.2,86.5,3.7,Yes,05/09/2024
1011,James Foster,Computing,Coventry,83.4,68.2,67.5,70.5,5.6,Yes,17/09/2024
1032,Thomas Moore,Computing,Reading,96.9,72.6,76.4,97.3,10.5,Yes,26/09/2024
1013,Abigail Robinson,Cyber Security,Coventry,79.8,74.9,66.1,62.6,9.2,Yes,09/09/2024
1014,Ryan Foster,Business IT,Cardiff,66.8,72.1,77,56.7,6.4,Yes,25/09/2024
1015,Amir Khan,Business IT,Birmingham,79.1,78.4,60.1,74.7,5,No,16/09/2024
1016,Zara Adams,Software Development,Leeds,87.2,,84,73.2,7.7,Yes,14/09/2024
1017,Poppy Hall,Cyber Security,Reading,93,69.5,70.6,62,3.5,Yes,19/09/2024
1018,Samuel Morris,Software Development,Sheffield,100,88.2,97.5,77.9,6,Yes,23/09/2024
1019,Grace Robinson,Digital Media,Coventry,93,79.4,62.4,65.1,5.1,Yes,10/09/2024
1020,Jasmine White,Software Development,London,95.3,30,83.2,75.5,5.3,Yes,10/09/2024
1021,Grace Johnson,IT,Nottingham,87.6,52.5,44.9,43.3,5.1,No,11/09/2024
1022,Harry Campbell,Software Development,Reading,77.9,60.2,68.9,52.4,3,Yes,22/09/2024
1023,Amelia Begum,Digital Media,Liverpool,88.5,,94.8,98.6,6.7,Yes,19/09/2024
1024,Daniel Patel,Computing,Bristol,89.1,63.6,68.6,78.4,6.8,No,03/09/2024
1025,Blake Jackson,Business IT,Cardiff,97.1,,79.9,65.4,7.5,Yes,15/09/2024
1026,Mohammed Wright,Digital Media,Reading,95.8,73.8,63.2,71.6,4.2,No,17/09/2024
1027,James Young,Business IT,Leeds,81.7,88.8,64.2,76.7,9,Yes,18/09/2024
1028,Adam Campbell,Software Development,Liverpool,87,84.5,99.7,69.3,6.4,Yes,25/09/2024
1029,Bradley Jones,Software Development,Leeds,78.5,90.4,99.4,70.3,1.6,No,23/09/2024
1030,Joshua Shah,IT,Birmingham,74.8,67.9,62,64.8,7.6,Yes,11/09/2024
1031,Logan Thomas,Business IT,Manchester,72,62.7,71.7,69.9,4.7,Yes,22/09/2024
1943,Mia Ali,Computing,Nottingham,93.7,43.6,66,97,9.6,Yes,12/09/2024
1033,Chloe Ahmed,Computing,,64.6,55.7,48,78.1,1.9,Yes,14/09/2024
1034,Blake Williams,Cyber Security,Manchester,71,76.7,54.5,52.6,6,No,05/09/2024
1035,Olivia Shah,Business IT,Sheffield,57.5,82.6,65.3,72.7,7,No,22/09/2024
1036,George Griffiths,Cyber Security,Reading,69.8,67.7,81.3,62.6,8,Yes,09/09/2024
2500,Molly King,IT,Nottingham,72.5,74.5,49.2,84.6,2.1,No,26/09/2024
1038,Jacob White,IT,Cardiff,70.4,49.4,67.4,79.2,0.5,Yes,10/09/2024
1039,Mia Walker,Computing,Nottingham,100,52.3,46.4,63.5,2.3,Yes,15/09/2024
1040,Logan Hill,Computing,Bristol,70.1,56,93.1,63.9,11.1,Yes,04/09/2024
1041,Layla Evans,Digital Media,Leicester,81.7,70.8,72.4,96.8,4,Yes,05/09/2024
1042,Lily Collins,Digital Media,Reading,73.4,65.5,51.6,76.2,7.1,Yes,11/09/2024
1043,Ethan Baker,Digital Media,Leicester,79.8,90.1,66.2,90.2,6.8,Yes,03/09/2024
1044,Sophia Smith,IT,Cardiff,60.6,72.7,66.9,89.3,4.5,No,24/09/2024
1045,Imogen Shah,Business IT,Sheffield,80.9,55.6,79.4,53.3,4.5,No,10/09/2024
1046,Logan Hughes,Computing,Bristol,86.4,73.7,79.5,73.8,3.2,No,24/09/2024
1047,Emily Begum,IT,Cardiff,60.5,71.6,65.7,51.2,1,Yes,09/09/2024
1048,Lily Moore,Cyber Security,Bristol,80.1,50.8,81,59.4,8.6,Yes,10/09/2024
1049,Yasmin White,Digital Media,Leeds,81.7,84.6,66.8,32.1,3.4,Yes,08/09/2024
1050,Yasmin Carter,IT,London,77.6,51,65.9,89.8,8.7,Yes,02/09/2024
1051,Ella Allen,IT,Nottingham,82,73.1,56.3,71,4.8,No,11/09/2024
1293,Mia Lewis,Computing,Cardiff,91.2,55.7,61.5,96.8,9.5,Yes,04/09/2024
